Location,TimeFrame,DataFormat,Data
Colorado,2011,Percent,0.4
Colorado,2010,Percent,0.414
Colorado,2009,Percent,0.392
ACADEMY 20,2011,Percent,0.263
ACADEMY 20,2010,Percent,0.294
ACADEMY 20,2009,Percent,0.264
ADAMS COUNTY 14,2011,Percent,0.813
ADAMS COUNTY 14,2010,Percent,0.784
ADAMS COUNTY 14,2009,Percent,0.72
AGATE 300,2011,Percent,N/A
AGATE 300,2010,Percent,N/A
AGATE 300,2009,Percent,N/A
