Location,TimeFrame,DataFormat,Data
Colorado,2011,Number,16221
Colorado,2012,Number,16638
Colorado,2013,Number,16215
ACADEMY 20,2011,Number,33
ACADEMY 20,2012,Number,35
ACADEMY 20,2013,Number,341
ADAMS COUNTY 14,2011,Number,0
ADAMS COUNTY 14,2012,Number,0
ADAMS COUNTY 14,2013,Number,0
AGATE 300,2011,Number,0
AGATE 300,2012,Number,0
AGATE 300,2013,Number,0
